team_id,n_stem,obs_girls,exp_girls
4,1,0,0.6
6,6,3,3.5294117647058822
7,5,3,2.2222222222222223
10,2,1,1.3333333333333333
14,2,2,1.3333333333333333
19,1,1,0.5
28,1,1,0.6666666666666666
31,1,1,0.6666666666666666
32,1,1,0.4
36,2,0,1
37,2,0,1.3333333333333333
38,2,0,0.5
39,3,2,1.2857142857142856
40,1,0,0.5
41,2,2,1.5
48,1,1,0.75
50,1,0,0.75
67,2,0,0.6666666666666666
75,2,0,1
76,2,1,0.75
78,2,2,1.1428571428571428
86,2,2,1
89,2,2,1.1428571428571428
93,1,1,0.4
94,2,2,1.6
96,2,0,0.6666666666666666
98,3,0,1.125
104,1,0,0.5
106,2,0,0.6666666666666666
110,1,1,0.6
114,2,0,1
156,2,2,1.2
162,1,1,1
165,1,1,0.5
168,1,1,0.6666666666666666
188,1,1,0.6
198,1,1,0.6666666666666666
199,1,1,0.6
204,1,0,0.8
205,1,1,0.5
211,1,0,0.4
214,2,0,0.3333333333333333
228,1,0,0.4
232,2,1,0.4
244,1,1,0.6666666666666666
246,2,2,1.5
256,1,0,0.6
257,1,0,0.5
258,2,1,1.6666666666666667
259,2,1,0.5
260,1,1,0.75
261,1,0,0.5
263,1,0,0.6
264,2,1,1.3333333333333333
265,1,1,0.6666666666666666
275,1,1,0.6
278,2,0,1
280,2,0,1.3333333333333333
281,4,2,2.6666666666666665
283,2,2,0.6666666666666666
288,2,1,1.3333333333333333
295,3,1,2
303,2,2,1.3333333333333333
310,2,1,1.6666666666666667
327,1,0,0.4
342,1,0,0.5
345,1,0,0.6
346,1,0,0.4
348,1,0,0.4
349,1,0,0.6666666666666666
352,1,1,0.4
357,2,0,0.6666666666666666
362,1,0,0.75
363,1,1,0.5
365,1,0,0.25
366,1,0,0.6
367,1,0,0.25
371,1,0,0.4
373,1,0,0.3333333333333333
375,1,0,0.2
377,1,0,0.5
378,1,0,0.8
379,1,1,0.8
380,1,1,0.75
381,1,1,0.8
385,1,0,0.25
387,1,0,0.8
391,1,0,0.8
393,1,1,0.8
394,1,1,0.8
396,1,0,0.6
397,1,0,0.8
412,2,2,1.6666666666666667
416,2,1,0.6666666666666666
444,2,1,1.3333333333333333
450,1,0,0.8
451,1,1,0.2
452,1,1,0.6
453,1,0,0.2
454,1,1,0.5
455,1,0,0.2
456,1,0,0.6
459,1,0,0.75
460,1,0,0.3333333333333333
461,1,0,0.6
462,1,0,0.6666666666666666
463,1,1,0.6666666666666666
464,1,0,0.4
465,1,0,0.6
467,1,0,0.8
468,1,0,0.6
469,1,0,0.25
470,1,0,0.4
471,1,0,0.6
472,1,1,0.8
473,1,0,0.8
474,2,0,0.6666666666666666
475,1,0,0.6
477,1,1,0.5
480,1,1,0.8
481,1,0,0.25
483,2,0,0.5
485,1,0,0.25
486,1,1,0.4
487,1,0,0.25
488,2,0,1
506,1,0,0.6
507,1,0,0.5
509,1,0,0.4
512,1,0,0.2
514,1,1,0.6
518,1,0,0.25
520,1,0,0.25
522,1,1,0.6
523,1,1,0.6
525,2,0,1.3333333333333333
528,1,0,0.6666666666666666
530,1,1,0.2
531,1,1,0.8
533,1,1,0.8
538,1,0,0.6
552,2,1,1.6666666666666667
554,2,0,1
556,3,1,2.142857142857143
558,2,0,0.8
560,2,0,0.6666666666666666
563,1,1,0.5
564,1,0,0.5
565,1,0,0.75
567,1,0,0.5
573,1,0,0.75
583,1,0,0.2
591,2,0,1.3333333333333333
592,1,0,0.6666666666666666
598,1,0,0.8
603,2,1,1.5
605,2,1,1.3333333333333333
607,2,0,1
608,2,0,0.3333333333333333
610,1,0,0.6666666666666666
613,2,0,0.6666666666666666
619,1,1,0.6666666666666666
634,1,0,0.2
637,1,0,0.8
641,1,1,0.75
654,1,0,0.6666666666666666
662,1,0,0.2
663,2,1,1.3333333333333333
664,1,0,0.8
665,2,0,0.8
673,1,0,0.25
686,1,0,0.3333333333333333
693,1,0,0.75
695,3,2,2.25
696,3,1,1.6666666666666667
700,2,1,1.3333333333333333
750,2,0,0.6666666666666666
753,1,0,0.75
755,2,0,0.5
761,1,0,0.4
785,2,0,1
788,2,2,1.6
802,2,1,1.3333333333333333
808,1,1,0.5
809,2,1,1.3333333333333333
819,1,1,0.6666666666666666
821,2,0,1.4285714285714286
822,2,1,1.6666666666666667
823,2,1,0.6666666666666666
831,1,1,0.5
842,2,1,1
848,1,0,0.6666666666666666
858,1,0,0.6
859,1,1,0.75
860,1,0,0.6
861,1,0,0.4
862,1,0,0.8
863,1,1,0.8
